organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
National Environment Agency,0d1ace9a-baa2-46ed-b5e3-09b9dcdc60e1,2nd Hand Goods Collection Points,2015-10-20,2017-12-19,Collection points for 2nd hand goods,Annual,na,na,04cf94e2-e550-435d-9d4a-f28a04302f62,2nd Hand Goods Collection Points (KML),na,KML
Infocomm Media Development Authority,6ed1bad5-0051-45e1-8619-0eab2a241e1a,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,2015-09-15,2017-03-28,Cellular mobile call success rates from 2007 - 2016,Monthly,2013-04-01,2016-12-31,c9f714db-cc3b-49ad-bb0f-302ba33505ee,Call Success Rate 2013-2016,"For period 2013 - 2016, frequency of data collected was on a monthly basis",CSV
Infocomm Media Development Authority,6ed1bad5-0051-45e1-8619-0eab2a241e1a,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,2015-09-15,2017-03-28,Cellular mobile call success rates from 2007 - 2016,Monthly,2013-04-01,2016-12-31,e9ec02c5-f3fe-49ec-960c-f7c05acf536c,Call Success Rate 2009 - 2011,"For period 2009 - 2011, frequency of data collected was on a semi-annual basis",CSV
Infocomm Media Development Authority,6ed1bad5-0051-45e1-8619-0eab2a241e1a,3G Public Cellular Mobile Telephone Services - Average Success Rate Across All Cells,2015-09-15,2017-03-28,Cellular mobile call success rates from 2007 - 2016,Monthly,2013-04-01,2016-12-31,c195d04f-22d8-474f-83b8-8c2c3cb6131a,Call Success Rate 2007 - 2008,"For period 2007 - 08, frequency of data collected was on a semi-annual basis",CSV
Infocomm Media Development Authority,e32d6a83-e791-4103-8601-3be37b2ae7e4,3G Public Cellular Mobile Telephone Services - Average Drop Call Rate,2016-04-12,2017-03-28,"This indicator measures the percentage of unintended disconnection of 3G mobile calls by the cellular network during a 100 second call. Under IDA's 3G PCMTS QoS framework, mobile operators are required to achieve <1% drop call rate (average across the entire month).",Monthly,2013-04-01,2016-06-30,b0f5648c-af96-4fee-a8fb-de7f9580d050,3G Public Cellular Mobile Telephone Services - Average Drop Call Rate,na,CSV
Infocomm Media Development Authority,f2f39aa0-7e35-4edc-80d8-c2a09e2c587a,3G Public Cellular Mobile Telephone Services  - Nation-wide Service Coverage,2016-04-12,2017-03-28,"This indicator measures Nation-Wide Outdoor Service Coverage for the 3G cellular network. Service coverage is determined by signal strength. The availability of service coverage is the ability of a cellular network to achieve the minimum signal strength of at least -100dBm. Under IDA's 3G Public Cellular Mobile Telephone Service (""PCMTS"") QoS framework, mobile operators are required to achieve Nation-Wide Outdoor Service Coverage of >99%. In order to better measure the end users' experience*, IDA has used mobile handsets to collect the signal strength sample readings for all service coverage indicators starting from Q2 2013.",Monthly,2013-04-01,2016-06-30,c7f2dc9d-a1b8-4fca-99fa-91a4ade199d4,3G Public Cellular Mobile Telephone Services  - Nation-wide Service Coverage,na,CSV
"PUB, Singapore's national water agency",da282d56-8660-4a7f-933d-ac5fb53be72c,ABC Waters Construction,2017-06-14,2020-01-07,"The ABC Waters Construction layer represents ABC construction projects. This data layer is provided for agencies' use on MSO's infra works dashboard, a community app hosted on Geospace. You may wish to access the dataset via IWD.",Half Year,na,na,23d492f9-7313-40fe-830d-053438e7753d,ABC Waters Construction (KML),na,KML
"PUB, Singapore's national water agency",da282d56-8660-4a7f-933d-ac5fb53be72c,ABC Waters Construction,2017-06-14,2020-01-07,"The ABC Waters Construction layer represents ABC construction projects. This data layer is provided for agencies' use on MSO's infra works dashboard, a community app hosted on Geospace. You may wish to access the dataset via IWD.",Half Year,na,na,0a096fdd-7485-4114-8d8b-2ad1d4e76dc5,ABC Waters Construction (GEOJSON),na,GeoJSON
"PUB, Singapore's national water agency",a9ce3c62-852d-424d-9471-5751c44105da,ABC Waters Sites,2016-11-09,2017-12-21,The ABC Waters Sites layer shows all the ABC Waters sites around Singapore,Half Year,na,na,67b3d4aa-dd05-49ae-8909-6100f4980fb7,ABC Waters Sites (KML),na,KML
Ministry of Home Affairs - Singapore Prison Service,95c2dda2-cd18-44aa-bc79-923adc3380bb,Academic Programmes,2016-03-30,2019-03-29,Yearly enrolment of inmates in academic programmes and academic results.,Annual,2006-01-01,2018-12-31,727694b5-2122-4096-b697-7106b5b794dd,Academic Result of Inmates,Yearly enrolment of inmates in academic programmes and academic results.,CSV
Ministry of Home Affairs - Singapore Prison Service,95c2dda2-cd18-44aa-bc79-923adc3380bb,Academic Programmes,2016-03-30,2019-03-29,Yearly enrolment of inmates in academic programmes and academic results.,Annual,2006-01-01,2018-12-31,bcff6d31-10ec-470b-b861-bda761a3a370,Yearly Enrolment of Inmates in Academic Programmes,Yearly enrolment of inmates in academic programmes and academic results.,CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,2017-06-12,2019-09-19,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,2017-10-31,2019-09-16,6b5cbfa7-b502-4ce6-875d-dafff7ff04f2,ACRA Information on Corporate Entities ('A'),"This file contains information on corporate entities that begin with the letter ""A"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,2017-06-12,2019-09-19,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,2017-10-31,2019-09-16,3b8539bb-5c22-4540-a420-86db444810d3,ACRA Information on Corporate Entities ('B'),"This file contains information on corporate entities that begin with the letter ""B"".",CSV
